Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Anks1,VEC3,0.427238318,1.36E-05
Akt3,VEC3,0.250720336,1.65E-05
Herc1,VEC3,0.321993343,2.04E-05
Atp5j2,VEC3,0.216989469,2.14E-05
Robo4,VEC3,0.462795967,2.14E-05
Klra4,VEC3,1.547785613,2.15E-05
Plgrkt,VEC3,0.503223851,2.25E-05
Atp2a2,VEC3,0.269115991,2.26E-05
Hbb-bs,VEC3,0.100921077,2.36E-05
Mtmr10,VEC3,0.800290999,3.00E-05
Rin2,VEC3,0.521152367,3.14E-05
Atp5b,VEC3,0.235082755,3.26E-05
Gm10406,VEC3,1.353273983,3.31E-05
Tspan15,VEC3,0.809253731,3.35E-05
Ssu2,VEC3,1.379639091,3.46E-05
Ndufab1,VEC3,0.300193992,4.43E-05
Sdhb,VEC3,0.292273968,4.96E-05
Rnf144b,VEC3,0.923096831,5.95E-05
Bicd2,VEC3,0.621232964,6.36E-05
Pde2a,VEC3,0.320935903,6.80E-05
Magix,VEC3,1.326041378,6.83E-05
Eno3,VEC3,0.334696252,7.28E-05
Adipor2,VEC3,0.401501552,9.09E-05
Ndufb9,VEC3,0.293493995,1.11E-04
Ptk2,VEC3,0.205666455,1.15E-04
Ldhb,VEC3,0.300190532,1.24E-04
Cox4i1,VEC3,0.197625648,1.60E-04
Igf1r,VEC3,0.31245155,1.71E-04
Ppm1h,VEC3,0.326139347,1.76E-04
Prdm1,VEC3,0.902262476,1.82E-04
Sult1a1,VEC3,0.506759666,1.89E-04
Atp5mpl,VEC3,0.266431403,2.08E-04
Ech1,VEC3,0.286694195,2.10E-04
Asxl3,VEC3,0.951961629,2.57E-04
Actn2,VEC3,0.357507942,2.63E-04
Zbtb46,VEC3,0.262937666,2.94E-04
Fhl2,VEC3,0.290984202,3.25E-04
Inka2,VEC3,0.826720355,3.41E-04
Itgb5,VEC3,0.922411688,3.69E-04
Ldb3,VEC3,0.531422224,4.08E-04
Fcho2,VEC3,0.301960437,4.20E-04
Ndufb1-ps,VEC3,0.286466344,4.56E-04
Dok4,VEC3,0.643161101,4.65E-04
Lratd2,VEC3,0.787482576,4.80E-04
Gm26703,VEC3,1.784694165,4.91E-04
Hpcal1,VEC3,0.319574934,5.39E-04
Mmd,VEC3,0.618085844,5.91E-04
Nbeal1,VEC3,0.227389501,5.94E-04
Gdpd3,VEC3,0.730908407,5.96E-04
Atp5a1,VEC3,0.240463692,7.10E-04
Lncbate6,VEC3,2.242044278,7.47E-04
Art3,VEC3,0.436730853,7.69E-04
Zfp715,VEC3,0.461010852,8.07E-04
Slc15a2,VEC3,1.323858743,8.49E-04
Spata13,VEC3,0.428380407,9.11E-04
Ndufa5,VEC3,0.267015622,0.001007103
Atrx,VEC3,0.258641212,0.001329337
Tnfrsf21,VEC3,0.651053994,0.001342541
Dhrs3,VEC3,0.332321186,0.001409767
Cyp2d22,VEC3,0.51244985,0.00152032
Sec14l1,VEC3,0.269252551,0.001525411
Kif1b,VEC3,0.333848343,0.001574828
Pygm,VEC3,0.390473588,0.001700779
Rnf144a,VEC3,0.462726216,0.001782724
Ttn,VEC3,0.423991595,0.001828549
Myo1b,VEC3,0.233757636,0.001891219
Cnot6l,VEC3,0.341756541,0.002093221
Ube2h,VEC3,0.330263859,0.002282034
Cox6b1,VEC3,0.228211905,0.002296623
Git2,VEC3,0.345447821,0.002324361
Itgb1bp2,VEC3,0.620762302,0.002332478
Gas2,VEC3,0.602911626,0.002348179
Akap12,VEC3,0.348869624,0.002712061
Idh2,VEC3,0.26927786,0.00275911
Cycs,VEC3,0.241946932,0.002854753
Trio,VEC3,0.195593452,0.003066893
Fxyd1,VEC3,0.410536785,0.003408972
Bend7,VEC3,0.601778861,0.003425262
Acadm,VEC3,0.330963284,0.003481765
E130102H24Rik,VEC3,0.65815398,0.003621038
4930523C07Rik,VEC3,0.377211278,0.003851348
Lyn,VEC3,0.23391614,0.003855776
Evl,VEC3,0.361334725,0.00389255
Sbf2,VEC3,0.212936627,0.004498674
Crybg1,VEC3,0.828610666,0.004804767
Mpped2,VEC3,1.049055325,0.005027034
Disc1,VEC3,0.53678232,0.005150152
Fermt2,VEC3,0.206744873,0.005282511
Acss1,VEC3,0.710016985,0.005889799
Clmp,VEC3,1.122923031,0.00598614
Cox7a2,VEC3,0.214723055,0.006280456
Tmem182,VEC3,0.847076615,0.006352145
Rbm39,VEC3,0.17750544,0.006526121
Lmo7,VEC3,0.287974526,0.006733778
Vsig2,VEC3,0.509861943,0.006787693
Tbx3os1,VEC3,0.88299149,0.006947723
Hrh2,VEC3,1.354332348,0.007131798
Mef2a,VEC3,0.170566749,0.007600838
mt-Nd4l,VEC3,0.256611738,0.009572137
Ndrg2,VEC3,0.349764566,0.009677816
Prnd,VEC_Prol,4.456197615,4.16E-113
Kit,VEC_Prol,2.625583791,7.84E-86
Dtl,VEC_Prol,4.236204573,1.11E-77
Neil3,VEC_Prol,5.784856029,2.41E-77
Kntc1,VEC_Prol,4.736850408,5.29E-75
Mest,VEC_Prol,2.239389722,1.87E-74
Diaph3,VEC_Prol,3.853329608,2.32E-65
Ift122,VEC_Prol,2.238606412,1.20E-61
Top2a,VEC_Prol,4.200666705,2.38E-61
Clspn,VEC_Prol,4.064460406,6.78E-54
Cenpk,VEC_Prol,4.262022842,1.60E-53
Rad51b,VEC_Prol,2.648452619,8.03E-53
Nrp2,VEC_Prol,1.134222317,1.06E-52
Bcl6b,VEC_Prol,1.379135237,2.50E-52
Brca1,VEC_Prol,3.740831877,2.00E-51
Col4a1,VEC_Prol,0.79633904,1.11E-50
Lmnb1,VEC_Prol,2.610629429,2.74E-50
Hells,VEC_Prol,2.765970803,3.97E-50
Knl1,VEC_Prol,4.344125993,5.56E-50
Kif15,VEC_Prol,4.372817636,1.13E-49
Ska1,VEC_Prol,4.662279317,1.47E-48
Adam19,VEC_Prol,1.581190341,6.80E-48
Cenph,VEC_Prol,4.295330007,7.15E-48
Tcf4,VEC_Prol,0.59205047,8.19E-48
Cdh13,VEC_Prol,0.891527245,4.85E-47
Gm21057,VEC_Prol,2.76043661,4.91E-47
Col4a2,VEC_Prol,0.863105041,4.68E-45
Ncapg,VEC_Prol,3.921471107,8.24E-45
Mki67,VEC_Prol,3.867048291,1.99E-44
Cdt1,VEC_Prol,3.012165858,2.84E-44
Iqgap3,VEC_Prol,4.829200302,4.90E-44
Nav3,VEC_Prol,0.94254873,7.76E-44
Uhrf1,VEC_Prol,3.139171246,8.15E-44
Tpx2,VEC_Prol,3.667160433,1.08E-43
Mms22l,VEC_Prol,2.389022664,1.62E-43
Sgo1,VEC_Prol,4.35540991,2.26E-43
Mycn,VEC_Prol,2.456934927,3.93E-43
Pole,VEC_Prol,2.988345904,7.10E-42
Pvt1,VEC_Prol,2.232634293,2.16E-40
Trp53i11,VEC_Prol,1.286843495,2.17E-39
Ect2,VEC_Prol,3.313521638,5.15E-39
Ttk,VEC_Prol,4.211137244,9.43E-39
Zwilch,VEC_Prol,2.600838146,2.61E-38
Noct,VEC_Prol,1.956223566,3.02E-38
Depdc1a,VEC_Prol,5.016461491,4.96E-38
Nid2,VEC_Prol,1.617088602,2.39E-37
Rad54b,VEC_Prol,3.508908243,5.36E-37
Stil,VEC_Prol,4.299752146,3.69E-36
Kif11,VEC_Prol,4.01062383,1.05E-35
Cenpi,VEC_Prol,3.898317167,5.70E-35
Cdca2,VEC_Prol,3.751984453,2.61E-34
Ndc80,VEC_Prol,2.63513858,3.07E-34
Ulbp1,VEC_Prol,2.032570315,5.35E-34
Cdk1,VEC_Prol,3.252135272,8.51E-34
Mis18bp1,VEC_Prol,4.383044893,3.05E-33
Shcbp1,VEC_Prol,3.745432574,4.13E-33
Atad5,VEC_Prol,1.996163961,4.46E-33
Fscn1,VEC_Prol,1.140644465,9.61E-33
Cldn5,VEC_Prol,0.929922085,2.12E-32
Mcm10,VEC_Prol,3.841233157,3.03E-32
Nuf2,VEC_Prol,3.875109269,3.06E-32
Tnfaip8l1,VEC_Prol,1.755673483,3.52E-32
Blm,VEC_Prol,2.452759203,3.69E-32
Cdc45,VEC_Prol,3.102628962,5.39E-32
Cep55,VEC_Prol,4.415866476,1.07E-31
Ncapg2,VEC_Prol,2.487792282,1.29E-31
Bub1,VEC_Prol,4.455132267,1.96E-31
Slfn9,VEC_Prol,2.464139313,3.70E-31
Adgrl2,VEC_Prol,0.815830719,5.43E-31
Adamts9,VEC_Prol,0.786423018,3.75E-30
Plekhg1,VEC_Prol,0.923649002,1.21E-29
Dlgap5,VEC_Prol,3.708322793,1.69E-29
Ticrr,VEC_Prol,3.451645545,1.75E-29
Exo1,VEC_Prol,4.106666384,3.20E-29
Parpbp,VEC_Prol,5.085530318,6.15E-29
Pxdn,VEC_Prol,0.99364147,7.16E-29
Esco2,VEC_Prol,5.180555,7.95E-29
E2f1,VEC_Prol,2.949396124,1.03E-28
Kifc1,VEC_Prol,3.416356085,1.42E-28
Lockd,VEC_Prol,3.380279998,1.92E-28
Fanci,VEC_Prol,4.307242423,2.08E-28
Meox1,VEC_Prol,1.646742583,2.55E-28
Aspm,VEC_Prol,4.026606599,2.70E-28
Pask,VEC_Prol,3.721586288,2.96E-28
Polq,VEC_Prol,2.87364183,3.01E-28
Ankle1,VEC_Prol,8.621921658,3.13E-28
Troap,VEC_Prol,3.450178557,4.21E-28
Spag5,VEC_Prol,3.894062622,1.10E-27
Rad51,VEC_Prol,2.61679932,1.37E-27
Hist1h2ap,VEC_Prol,4.262462401,2.18E-27
Apln,VEC_Prol,2.25068948,3.54E-27
Efcab11,VEC_Prol,3.637094884,7.88E-27
Vash1,VEC_Prol,2.013240328,2.15E-26
Zgrf1,VEC_Prol,2.042566446,4.60E-26
Prc1,VEC_Prol,3.411365449,1.11E-25
Ckap2,VEC_Prol,3.456829376,1.96E-25
Smc2,VEC_Prol,1.69266823,3.48E-25
Gsap,VEC_Prol,1.621786182,3.56E-25
Tk1,VEC_Prol,2.777584979,8.78E-25
Cdc7,VEC_Prol,2.060971984,1.19E-24
Kif23,VEC_Prol,2.528839934,2.22E-24
Rassf2,VEC_Prol,2.725319076,4.56E-24
Gm42047,VEC_Prol,3.04800257,4.94E-24
Hmmr,VEC_Prol,3.320283064,5.37E-24
Myh9,VEC_Prol,0.893874544,1.40E-23
Fancd2,VEC_Prol,3.373674536,1.72E-23
Cdca8,VEC_Prol,3.41083142,2.25E-23
Creb5,VEC_Prol,0.995256351,2.31E-23
Bard1,VEC_Prol,2.759835899,2.39E-23
Nos2,VEC_Prol,1.339732465,2.53E-23
Smad1,VEC_Prol,0.939497127,3.49E-23
Anln,VEC_Prol,3.238986008,5.40E-23
Spdl1,VEC_Prol,3.319926712,1.29E-22
Rmi2,VEC_Prol,3.277532118,1.72E-22
Bub1b,VEC_Prol,3.076109887,2.04E-22
Gprin3,VEC_Prol,2.828403865,2.15E-22
Myadm,VEC_Prol,0.782640041,2.40E-22
Map1b,VEC_Prol,1.171687179,3.15E-22
E2f2,VEC_Prol,3.267868331,3.53E-22
Nsl1,VEC_Prol,2.411283283,5.03E-22
Ckap2l,VEC_Prol,2.978057928,5.11E-22
Ezh2,VEC_Prol,1.427805063,5.80E-22
Ephb1,VEC_Prol,1.058740814,6.19E-22
Pde4b,VEC_Prol,1.21514027,7.15E-22
N4bp3,VEC_Prol,1.197991047,2.88E-21
Mybl2,VEC_Prol,3.509208093,3.84E-21
Fam78b,VEC_Prol,1.038108459,5.12E-21
Brip1,VEC_Prol,1.686445578,5.31E-21
Ccna2,VEC_Prol,2.608548998,5.32E-21
Trp53,VEC_Prol,1.226395228,6.99E-21
Racgap1,VEC_Prol,2.306412848,7.29E-21
Lig1,VEC_Prol,1.907893521,7.71E-21
Melk,VEC_Prol,2.987660833,9.99E-21
Cdk6,VEC_Prol,1.068813295,1.03E-20
Kif22,VEC_Prol,2.837621361,1.38E-20
Aurkb,VEC_Prol,3.263407167,2.09E-20
Nes,VEC_Prol,1.249447455,2.15E-20
Wdhd1,VEC_Prol,1.947275668,2.22E-20
Fanca,VEC_Prol,2.625686193,2.26E-20
Cenpe,VEC_Prol,2.550970185,4.31E-20
Nr5a2,VEC_Prol,1.442338378,5.80E-20
Mcam,VEC_Prol,1.218374456,5.94E-20
Dlg2,VEC_Prol,1.073173002,9.09E-20
Cd109,VEC_Prol,1.539950538,1.05E-19
Lama4,VEC_Prol,0.736710971,1.14E-19
Myh10,VEC_Prol,1.128708394,1.40E-19
Nox4,VEC_Prol,1.968991426,1.43E-19
Kif24,VEC_Prol,1.941001712,3.13E-19
Cip2a,VEC_Prol,2.645731852,3.36E-19
Prim1,VEC_Prol,1.714165893,3.60E-19
Arhgap11a,VEC_Prol,2.918266132,5.47E-19
Birc5,VEC_Prol,2.753227896,5.95E-19
Gm47283,VEC_Prol,0.868500818,8.12E-19
Mastl,VEC_Prol,2.339542419,8.83E-19
Plxnd1,VEC_Prol,0.687110349,1.02E-18
Bcl2,VEC_Prol,0.879081827,1.17E-18
E2f8,VEC_Prol,3.22893138,1.69E-18
Cenpp,VEC_Prol,2.454830487,1.76E-18
2610307P16Rik,VEC_Prol,0.754477322,2.03E-18
Zfp367,VEC_Prol,1.591796057,3.85E-18
Gen1,VEC_Prol,2.756783352,4.73E-18
Asf1b,VEC_Prol,2.735058224,4.85E-18
Kif20b,VEC_Prol,2.665678068,4.86E-18
Cenpf,VEC_Prol,2.500240466,5.39E-18
Kif18b,VEC_Prol,3.918515313,5.49E-18
Lhfpl2,VEC_Prol,1.334307364,7.08E-18
Fam111a,VEC_Prol,1.186503366,9.39E-18
Tcf19,VEC_Prol,2.423353393,1.23E-17
Pkmyt1,VEC_Prol,3.045913367,1.30E-17
Pimreg,VEC_Prol,3.450105816,2.32E-17
Disp1,VEC_Prol,1.398387812,2.58E-17
Kif4,VEC_Prol,2.125496867,4.08E-17
Chaf1b,VEC_Prol,2.795252096,4.32E-17
Neurl3,VEC_Prol,1.398033616,5.34E-17
Stmn1,VEC_Prol,2.018677897,5.88E-17
Sapcd2,VEC_Prol,5.14414933,6.39E-17
Gprc5b,VEC_Prol,1.276941747,7.11E-17
Celf4,VEC_Prol,1.742694742,8.64E-17
Mxd3,VEC_Prol,3.889777611,9.25E-17
Plod1,VEC_Prol,0.822876258,1.47E-16
Nav2,VEC_Prol,2.387168735,1.66E-16
Cgas,VEC_Prol,1.49310984,1.76E-16
E2f3,VEC_Prol,1.09749917,1.97E-16
Mcm5,VEC_Prol,2.037383614,2.92E-16
Chaf1a,VEC_Prol,2.681640463,3.87E-16
Ncapd2,VEC_Prol,1.884045206,4.16E-16
Sparcl1,VEC_Prol,0.547772678,4.34E-16
Eme1,VEC_Prol,4.213872748,8.65E-16
BC030867,VEC_Prol,4.179844473,8.77E-16
Lrr1,VEC_Prol,4.628272028,1.21E-15
Gm46565,VEC_Prol,1.75986655,1.27E-15
Sparc,VEC_Prol,0.417803123,1.33E-15
Cd34,VEC_Prol,0.61756712,2.73E-15
Foxd2os,VEC_Prol,1.429674972,3.06E-15
Ccnf,VEC_Prol,3.077765542,3.19E-15
Eldr,VEC_Prol,3.609829881,4.61E-15
Tns3,VEC_Prol,1.21411832,5.21E-15
Nusap1,VEC_Prol,2.259231921,6.22E-15
Incenp,VEC_Prol,2.022044653,6.47E-15
2610203C22Rik,VEC_Prol,0.705389666,7.90E-15
Traf3,VEC_Prol,1.020288929,9.56E-15
Pald1,VEC_Prol,0.803298143,1.16E-14
Tafa3,VEC_Prol,2.304135326,1.36E-14
Mcm2,VEC_Prol,1.752630228,2.02E-14
Ets2,VEC_Prol,0.760462592,2.33E-14
Nsd2,VEC_Prol,1.287797748,2.50E-14
Mbnl3,VEC_Prol,2.653851029,3.33E-14
Arl4c,VEC_Prol,1.518654722,4.71E-14
Dpysl3,VEC_Prol,0.870817286,5.79E-14
Dscc1,VEC_Prol,3.248618775,5.85E-14
Apbb2,VEC_Prol,0.487507938,6.20E-14
Dna2,VEC_Prol,1.723262753,6.81E-14
Wt1os,VEC_Prol,1.160670685,7.80E-14
Rrm2,VEC_Prol,2.179738785,9.18E-14
Hspg2,VEC_Prol,0.502921242,1.02E-13
Arhgef7,VEC_Prol,0.835974074,1.04E-13
Gins1,VEC_Prol,2.609542937,1.18E-13
Ppm1j,VEC_Prol,1.888738015,1.28E-13
Prdm1,VEC_Prol,1.488973851,1.75E-13
Ncaph,VEC_Prol,1.927791761,1.93E-13
Wt1,VEC_Prol,0.938186838,1.96E-13
Relb,VEC_Prol,1.127708273,2.91E-13
Sacs,VEC_Prol,0.855524676,3.06E-13
Cdc6,VEC_Prol,2.402849469,3.37E-13
Traip,VEC_Prol,3.609074974,3.63E-13
Dhfr,VEC_Prol,1.888641598,5.49E-13
Fhl3,VEC_Prol,1.990122713,5.70E-13
Kifc5b,VEC_Prol,1.525034185,6.40E-13
Gli3,VEC_Prol,1.578740394,7.91E-13
Cenpn,VEC_Prol,2.826376627,8.91E-13
Rad51ap1,VEC_Prol,1.257142923,1.12E-12
Rnf144a,VEC_Prol,0.799424896,1.12E-12
Cep128,VEC_Prol,1.098224498,1.24E-12
Ska3,VEC_Prol,2.436083993,1.82E-12
Col15a1,VEC_Prol,0.776795095,2.10E-12
Rnf122,VEC_Prol,1.598017771,2.18E-12
Trip13,VEC_Prol,2.304737533,2.37E-12
Nin,VEC_Prol,0.878840812,4.28E-12
Foxm1,VEC_Prol,1.970242689,8.10E-12
Dock4,VEC_Prol,0.462088912,8.15E-12
Slc16a6,VEC_Prol,2.135957873,8.67E-12
Mast4,VEC_Prol,0.545639983,1.07E-11
Cpne7,VEC_Prol,2.997911774,1.48E-11
Neto2,VEC_Prol,2.197973826,1.57E-11
Pard3b,VEC_Prol,0.513488167,1.70E-11
Cdc20,VEC_Prol,2.080080255,1.95E-11
Pclaf,VEC_Prol,2.51825868,2.06E-11
Orc1,VEC_Prol,1.941230989,2.41E-11
Fignl1,VEC_Prol,2.629463053,2.43E-11
Hist1h1b,VEC_Prol,2.632136865,2.73E-11
Map4k5,VEC_Prol,0.73302638,2.82E-11
Cenpm,VEC_Prol,2.814668876,3.37E-11
Slc25a25,VEC_Prol,1.016524693,3.72E-11
Ccnb2,VEC_Prol,2.27720309,3.83E-11
Tacc3,VEC_Prol,2.026656458,5.57E-11
Rhoc,VEC_Prol,0.818209792,7.78E-11
Wdr43,VEC_Prol,0.895583441,8.29E-11
Spc25,VEC_Prol,2.380204098,8.62E-11
Ldlrad3,VEC_Prol,0.764610676,8.67E-11
Kcne3,VEC_Prol,2.643648354,9.75E-11
Rad54l,VEC_Prol,2.492706689,1.16E-10
Gm4258,VEC_Prol,0.838381737,1.17E-10
Itga6,VEC_Prol,0.526054829,1.62E-10
Spc24,VEC_Prol,2.580270932,1.62E-10
Mtfr2,VEC_Prol,2.638444984,1.81E-10
Gm39465,VEC_Prol,2.526814771,1.87E-10
Slc7a1,VEC_Prol,1.093120542,2.27E-10
Elovl6,VEC_Prol,2.103568562,2.39E-10
Arhgap18,VEC_Prol,0.651611904,2.54E-10
Pola1,VEC_Prol,1.398058529,2.76E-10
Slbp,VEC_Prol,1.042602434,2.77E-10
Mmd,VEC_Prol,0.954566872,3.30E-10
Mmp15,VEC_Prol,0.689068332,3.38E-10
Cd44,VEC_Prol,1.246334551,3.39E-10
Disc1,VEC_Prol,0.715510987,4.01E-10
Nop56,VEC_Prol,1.09390312,4.01E-10
Gas2l3,VEC_Prol,2.287662865,4.25E-10
Arhgef39,VEC_Prol,3.254995869,4.45E-10
Sntb1,VEC_Prol,1.123940604,4.58E-10
Tedc1,VEC_Prol,2.696493545,6.56E-10
Rad18,VEC_Prol,1.450129336,6.72E-10
Brca2,VEC_Prol,1.624120245,6.78E-10
Slc25a13,VEC_Prol,1.096767568,6.92E-10
Col28a1,VEC_Prol,1.442577239,8.54E-10
Rasa3,VEC_Prol,0.856679314,1.03E-09
Prr11,VEC_Prol,2.148022914,1.05E-09
Ccdc18,VEC_Prol,2.31353356,1.15E-09
Slc20a1,VEC_Prol,1.075464006,1.21E-09
Gnb4,VEC_Prol,0.844732266,1.33E-09
Gm26917,VEC_Prol,0.719302033,1.34E-09
Nasp,VEC_Prol,0.75262552,1.36E-09
Atad2,VEC_Prol,1.150117953,1.56E-09
Plk4,VEC_Prol,1.57896799,1.57E-09
Tfdp1,VEC_Prol,1.267309545,1.91E-09
Gm14091,VEC_Prol,2.720122153,2.29E-09
Nup210,VEC_Prol,2.222841828,2.95E-09
9630013D21Rik,VEC_Prol,2.010209357,3.71E-09
Micall2,VEC_Prol,1.375237824,4.03E-09
Cep192,VEC_Prol,0.841381757,4.47E-09
Fancm,VEC_Prol,1.71723525,5.35E-09
Depdc1b,VEC_Prol,2.510282896,5.79E-09
Sipa1,VEC_Prol,0.848782051,5.87E-09
Hist1h3c,VEC_Prol,3.715883377,5.90E-09
Srgap1,VEC_Prol,0.699281232,5.97E-09
Lims1,VEC_Prol,0.55351673,7.42E-09
Kif2c,VEC_Prol,3.134377884,9.66E-09
Gm34643,VEC_Prol,1.961743776,1.18E-08
F2r,VEC_Prol,1.039544498,1.52E-08
Lamb1,VEC_Prol,0.787444819,1.72E-08
Cenpu,VEC_Prol,2.397753849,1.84E-08
Aurka,VEC_Prol,2.178323052,1.84E-08
Nav1,VEC_Prol,0.515604533,1.95E-08
Dgkd,VEC_Prol,0.727179828,2.12E-08
Tmed8,VEC_Prol,0.827180361,2.57E-08
Plaur,VEC_Prol,1.075734405,2.95E-08
Gm3739,VEC_Prol,1.321922995,3.01E-08
Gm30382,VEC_Prol,1.27578794,3.06E-08
Prim2,VEC_Prol,1.059227783,3.31E-08
Gm19519,VEC_Prol,0.946812714,3.46E-08
Hmgb2,VEC_Prol,1.2776099,3.54E-08
Aplnr,VEC_Prol,0.644187428,3.55E-08
4930523C07Rik,VEC_Prol,0.700543903,3.77E-08
Cenpq,VEC_Prol,1.396944448,3.81E-08
Mcm3,VEC_Prol,1.25217445,3.95E-08
Pcdh17,VEC_Prol,0.978687152,4.26E-08
Cdca7,VEC_Prol,2.18803273,4.55E-08
Trim59,VEC_Prol,2.028338966,5.38E-08
Gm31410,VEC_Prol,2.753526859,5.51E-08
Pbx3,VEC_Prol,0.882087963,5.78E-08
Map4k4,VEC_Prol,0.573727294,8.10E-08
Cks2,VEC_Prol,1.755785797,8.81E-08
Tmem120b,VEC_Prol,1.128838391,9.89E-08
Plcl2,VEC_Prol,1.167259085,1.07E-07
Frmd4b,VEC_Prol,0.574574013,1.26E-07
Scube2,VEC_Prol,2.173013723,1.34E-07
Myo1e,VEC_Prol,0.531047963,1.55E-07
Baz1a,VEC_Prol,0.806092604,1.56E-07
Skp2,VEC_Prol,1.283794231,1.86E-07
AI506816,VEC_Prol,1.278802147,2.00E-07
Lin9,VEC_Prol,1.122717555,2.30E-07
St7,VEC_Prol,0.845801568,2.52E-07
Rell1,VEC_Prol,0.696946053,2.76E-07
Topbp1,VEC_Prol,0.904615646,2.90E-07
Primpol,VEC_Prol,0.956622955,3.34E-07
B4galt3,VEC_Prol,1.072737173,3.35E-07
St8sia4,VEC_Prol,0.474138636,3.39E-07
Mpp6,VEC_Prol,1.001254083,3.71E-07
Bok,VEC_Prol,0.959798443,3.94E-07
Ptp4a3,VEC_Prol,0.673929316,4.14E-07
Tcf3,VEC_Prol,0.854138933,4.54E-07
Gtse1,VEC_Prol,2.974593841,4.54E-07
Casp3,VEC_Prol,0.904242084,4.80E-07
Cdca3,VEC_Prol,2.265167856,5.00E-07
Pla2g4c,VEC_Prol,2.301218811,5.21E-07
Sgo2a,VEC_Prol,2.2173294,5.54E-07
Man1a,VEC_Prol,0.772081007,5.63E-07
Pbk,VEC_Prol,2.015754513,6.08E-07
Slc44a5,VEC_Prol,1.364551265,7.36E-07
Adamts17,VEC_Prol,1.312487804,7.47E-07
Zranb3,VEC_Prol,1.205619435,8.10E-07
Hjurp,VEC_Prol,1.16624748,9.47E-07
Plekhh2,VEC_Prol,0.860147433,9.65E-07
Tyms,VEC_Prol,0.80387846,1.13E-06
Mad2l1,VEC_Prol,1.377654519,1.45E-06
Lamc1,VEC_Prol,0.521507659,1.84E-06
Knop1,VEC_Prol,0.880254464,1.85E-06
Epor,VEC_Prol,2.011057915,2.04E-06
Jazf1,VEC_Prol,0.750127104,2.52E-06
Cdc25c,VEC_Prol,2.395948448,2.55E-06
Pcna,VEC_Prol,0.990536943,2.63E-06
Tmsb10,VEC_Prol,0.606039782,2.82E-06
Gm3453,VEC_Prol,1.916389928,2.99E-06
Cdkn2a,VEC_Prol,2.087984565,3.14E-06
4930402H24Rik,VEC_Prol,0.564457489,3.49E-06
Nop58,VEC_Prol,0.942377754,3.65E-06
Mtbp,VEC_Prol,0.891119902,3.82E-06
Psrc1,VEC_Prol,2.939039406,4.30E-06
Rapgef5,VEC_Prol,0.456890523,5.27E-06
A330040F15Rik,VEC_Prol,1.484341858,5.43E-06
Nptxr,VEC_Prol,2.04827851,5.45E-06
Ptprk,VEC_Prol,0.519069178,5.47E-06
F730043M19Rik,VEC_Prol,1.161277078,5.72E-06
Eif4a1,VEC_Prol,0.680243148,6.49E-06
Kif14,VEC_Prol,2.133825141,6.99E-06
Slc12a2,VEC_Prol,0.391961275,7.17E-06
Ccdc194,VEC_Prol,4.230636251,7.37E-06
Ccne1,VEC_Prol,3.116780545,7.55E-06
Zfp710,VEC_Prol,0.676087144,7.83E-06
Crmp1,VEC_Prol,1.561092882,7.86E-06
Pidd1,VEC_Prol,2.326377946,8.32E-06
Rap2a,VEC_Prol,0.972195025,9.18E-06
Rif1,VEC_Prol,0.741192285,9.75E-06
Nek2,VEC_Prol,3.080494479,1.00E-05
E2f7,VEC_Prol,1.02166931,1.00E-05
Arap2,VEC_Prol,0.645297672,1.02E-05
Cenpw,VEC_Prol,2.296315453,1.15E-05
Gm5796,VEC_Prol,1.487647662,1.16E-05
C230037L18Rik,VEC_Prol,1.622204905,1.21E-05
Tnc,VEC_Prol,1.310586738,1.28E-05
Ndc1,VEC_Prol,1.392199915,1.29E-05
Dsn1,VEC_Prol,1.615242164,1.41E-05
Ptpn4,VEC_Prol,0.665102549,1.44E-05
Ccnd1,VEC_Prol,0.654550624,1.46E-05
Tbc1d31,VEC_Prol,1.021164278,1.74E-05
Chek1,VEC_Prol,1.950620711,1.75E-05
Mcm7,VEC_Prol,1.061814114,1.89E-05
Papln,VEC_Prol,0.97039478,1.91E-05
Gm3002,VEC_Prol,1.66389746,2.31E-05
Kif18a,VEC_Prol,1.525892055,2.31E-05
Pola2,VEC_Prol,0.689082301,2.39E-05
Arhgap28,VEC_Prol,0.590325877,2.91E-05
Sez6l2,VEC_Prol,0.937808374,2.99E-05
Cdkl1,VEC_Prol,1.914455934,3.04E-05
Tnip1,VEC_Prol,1.022695269,3.13E-05
Adm,VEC_Prol,1.349154666,4.22E-05
Pgf,VEC_Prol,1.697788161,4.48E-05
Flnb,VEC_Prol,0.499799412,4.60E-05
Tspan14,VEC_Prol,0.677457757,4.73E-05
Fbxo5,VEC_Prol,1.824400643,5.16E-05
Nrm,VEC_Prol,1.716348662,5.21E-05
Ube2c,VEC_Prol,2.059042477,5.32E-05
Sema6d,VEC_Prol,0.62438193,5.36E-05
Mcm6,VEC_Prol,1.074515576,5.56E-05
Tmem131l,VEC_Prol,0.97904465,6.38E-05
Fyn,VEC_Prol,0.414848159,6.43E-05
Slf1,VEC_Prol,0.743406503,6.49E-05
Mpp3,VEC_Prol,1.029457383,7.04E-05
Gins3,VEC_Prol,1.487040841,7.65E-05
Eri1,VEC_Prol,0.949661696,7.99E-05
Tnfaip3,VEC_Prol,1.447183631,8.52E-05
Il4i1,VEC_Prol,2.759180429,1.19E-04
Lipc,VEC_Prol,2.21528417,1.22E-04
