Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Prdm16,SMC,5.263768891663994,1.2878928434711903e-83
Reep1,SMC,4.914902006927004,1.927253866069472e-81
Sox6,SMC,4.585097037363095,3.0297832668249464e-81
Myocd,SMC,4.291943094630914,4.970302892969685e-78
Entpd1,SMC,4.525031919480595,2.2962330256183873e-76
Olfml2a,SMC,5.517503861508063,4.292805045836026e-73
A330015K06Rik,SMC,4.401363814735644,7.814306377789441e-73
Lama5,SMC,4.027572493680782,2.538591054683631e-72
Mustn1,SMC,4.701260912911403,2.9274478525435703e-72
Dock8,SMC,5.524422894056738,4.156837482273646e-68
Actg2,SMC,7.444527442,2.5509097846140173e-66
Cttnbp2,SMC,4.574950008133394,2.4387407617842944e-64
Npas4,SMC,8.040085486683369,1.2386033856292605e-61
Slc6a17,SMC,5.848309644578547,2.20982301275898e-61
Adamts14,SMC,5.483192108825061,4.331417336830713e-61
Gm17746,SMC,8.506479278077704,5.875536897551312e-61
Itpk1,SMC,3.895511376999937,2.4426465804891665e-59
Kcnt1,SMC,5.387302059690934,2.131264598696399e-56
Acan,SMC,7.029619603255531,1.1149694744217755e-55
Ctnna3,SMC,4.2630358765773675,1.4885446588792676e-55
Npy1r,SMC,4.931817448776496,1.0535835966424433e-54
Cnn1,SMC,5.435616626765228,2.575246939644491e-54
Atp10a,SMC,4.01078156,6.445680621959076e-53
Ppm1l,SMC,3.709160212,3.057227606031655e-52
Sorbs2,SMC,4.716160801582151,9.766099198338036e-52
Kcnma1,SMC,5.936763141399256,3.2349901641723574e-51
Cacna1h,SMC,4.323652882679764,7.095826145038377e-51
Slc16a7,SMC,4.637733848808583,1.4208295237815986e-50
Klhl29,SMC,3.349130427022939,2.2219540224939834e-47
Wtip,SMC,2.9177934053578776,5.759837615489201e-47
Slit3,SMC,3.3210271386408956,8.693091586498205e-47
Gm44507,SMC,8.680923612706618,4.053049482032514e-45
Ky,SMC,6.108862284804305,4.3820818363047695e-45
Rergl,SMC,7.937487662828733,4.412670584626035e-45
Palld,SMC,3.449826663272623,2.3022040443874253e-43
AC103362.1,SMC,4.121130921118692,1.1068995579378416e-42
Net1,SMC,3.6991463924406665,7.54821164972442e-42
Col18a1,SMC,4.6788932830361745,2.054351670702197e-41
Trpc6,SMC,2.8825014888047416,2.413745767208677e-41
Csrp1,SMC,4.137488411603798,2.1819847277211774e-40
Col4a6,SMC,4.720921771767512,5.292574316028198e-39
Bicd1,SMC,3.7265604487103468,7.89955749005286e-39
Itih4,SMC,6.573083848145067,1.8730964846394697e-38
Myl9,SMC,3.1382699173284974,2.8466247925129727e-38
Ntrk3,SMC,5.681223495,4.220296481108537e-38
